COUNTRY,Numeric
DNK,10.26753
AGO,6.82834
FRA,12.3
LAO,6.05256
CHL,7.55
NZL,9.624360000000001
IRN,0.02914
LKA,2.31
VNM,2.24478
ZMB,3.58587
BWA,5.69395
STP,5.85883
BHR,1.96245
PRY,6.28585
CYP,11.32622
ATG,7.40713
ESP,8.79352
MLI,0.58553
HTI,2.31526
SOM,0.00128
GHA,1.7332299999999998
JAM,3.3735800000000005
BEL,10.27107
NIU,5.00623
GIN,0.19555999999999998
JOR,0.48285
SUR,5.26345
KHM,2.15683
CHN,5.74699
MDA,6.919410000000001
SEN,0.2783
LSO,2.79871
GRD,8.35555
COL,4.1871599999999995
MNE,9.832460000000001
DOM,5.5449
MNG,7.74218
TKM,2.8973299999999997
BHS,8.72257
LBN,1.4962799999999998
GTM,2.01952
MLT,6.979430000000001
VUT,1.18029
QAT,1.1140299999999999
MYS,0.52437
SYR,0.7720899999999999
KIR,0.45958999999999994
HUN,10.70125
PNG,0.7491899999999999
IRQ,0.19253
ALB,5.28043
LTU,13.217239999999999
TUV,0.97006
OMN,0.50713
JPN,6.87978
SVK,10.512030000000001
BRB,8.249319999999999
AND,10.57549
NAM,1.3289799999999998
SGP,1.84074
BEN,1.42133
MDG,0.9553
FSM,1.77578
CPV,4.81415
SLB,1.08985
NLD,9.06912
BIH,4.54752
AUS,10.52
USA,8.56
BRA,7.12431
GBR,10.01304
BGD,0.00445
TGO,1.2595
IND,2.74079
DJI,0.48965
NER,0.10857
CAN,8.3
EGY,0.19766
POL,10.07045
NOR,6.59
UZB,1.68955
PAK,0.03734
SVN,10.33
AUT,12.1
BFA,5.51179
NPL,0.22710999999999998
SRB,8.6367
ITA,6.952030000000001
LCA,10.58907
GNQ,8.8831
ZAF,7.25206
TZA,6.59254
TCD,1.03685
MOZ,0.8387399999999999
TON,1.2404899999999999
PRK,3.10868
ROU,10.00809
WSM,3.00306
MMR,0.9737600000000001
RWA,7.64801
TTO,5.92258
MAR,0.47
KGZ,6.08819
RUS,10.95266
YEM,0.053770000000000005
VCT,7.213989999999999
BRN,0.8795299999999999
DMA,10.21832
UKR,7.7731
BLZ,6.42788
TLS,0.09585
LBR,3.64145
CHE,10.006039999999999
COD,0.62668
GEO,7.527539999999999
COG,3.9407400000000004
HRV,11.09707
CUB,4.07184
CMR,5.96451
GNB,2.9828799999999998
GRC,8.201030000000001
ERI,0.84306
FJI,2.25334
ECU,4.27565
FIN,9.72
BLR,14.338770000000002
MRT,0.00579
HND,2.69408
CRI,3.74594
ARE,1.74692
AZE,1.9216400000000002
KEN,1.55245
NGA,10.40192
UGA,11.50323
LVA,9.83
BTN,0.21689
SWE,7.38
PAN,6.1561699999999995
MKD,3.5337400000000003
IRL,11.3784
SLV,2.28954
THA,6.7
SAU,0.08705
MWI,1.6287
BOL,3.7109699999999997
TUN,1.2590299999999999
NIC,3.3484800000000003
TJK,0.66733
KWT,0.012329999999999999
VEN,7.3503
PRT,11.257430000000001
NRU,4.24899
ARM,4.228280000000001
TUR,1.55584
URY,5.990819999999999
SYC,11.13129
ZWE,3.25367
CAF,1.86748
PHL,4.741280000000001
CZE,12.67902
COM,0.13948
EST,14.83044
ISL,6.79
DZA,0.35269
GAB,8.22644
DEU,11.21128
CIV,1.13005
GMB,3.05707
GUY,5.9234599999999995
IDN,0.07737000000000001
MDV,1.49851
KAZ,3.9
ETH,0.30787
KNA,8.44841
LUX,11.83836
KOR,8.903
LBY,0.006409999999999999
MEX,4.05135
SLE,3.7429099999999997
ISR,2.74329
ARG,8.15
AFG,0.0115
SWZ,5.66244
PER,5.131959999999999
BGR,10.163789999999999
BDI,4.48499
MUS,2.95752
