COUNTRY,Numeric
AFG,0.7
BGD,7.6
BDI,7.3
TCD,12.2
ERI,0.9
KEN,6.2
KGZ,7.8
LBR,4.3
MWI,4.0
MLI,0.2
TGO,3.1
AGO,7.1
BLZ,5.8
CMR,7.2
IND,1.8
IDN,0.1
IRQ,0.7
LSO,9.3
MHL,
MDA,21.0
WSM,3.5
SLB,2.1
LKA,4.2
SDN,15.6
SWZ,5.9
THA,4.1
DMA,7.3
DOM,7.2
LBN,23.3
LBY,0.1
NAM,11.0
POL,13.2
RUS,22.2
LCA,11.4
SRB,14.2
VEN,9.3
AND,7.2
ATG,5.4
HRV,11.3
CZE,11.2
ISL,8.2
ITA,6.6
KWT,0.3
MCO,
ARE,13.5
GIN,0.2
GNB,4.6
HTI,6.3
LAO,4.7
MDG,4.2
NPL,7.1
TJK,14.5
VNM,5.0
YEM,0.4
ZMB,4.6
ZWE,5.7
ARM,7.4
AZE,5.9
BTN,2.0
CPV,6.9
GTM,5.1
HND,4.9
IRN,1.6
JOR,0.9
SYR,1.9
TLS,1.9
TUN,2.9
DZA,17.3
ARG,8.8
BGR,13.3
CUB,6.0
FJI,3.2
GRD,14.5
JAM,6.2
LVA,18.7
LTU,24.9
MEX,7.9
ROU,16.3
SYC,3.9
SUR,7.2
URY,7.3
BEL,11.4
BRN,1.0
CAN,12.4
CYP,10.3
DNK,12.7
EST,15.3
ISR,4.0
NLD,11.3
PRT,14.2
SGP,1.8
TTO,7.6
BEN,2.9
CAF,6.6
COM,0.1
COD,4.7
ETH,9.7
GHA,7.4
MRT,0.0
MMR,1.7
NER,0.1
SEN,0.1
SOM,0.3
TZA,6.2
CHN,3.2
CIV,8.7
ECU,8.0
SLV,4.5
MNG,7.2
NIC,5.8
PAK,0.1
PRY,8.3
STP,6.9
UKR,15.6
BLR,28.3
BWA,9.0
COL,7.5
KAZ,13.5
MUS,3.1
PAN,8.3
TUR,14.7
AUS,10.6
BHS,2.2
BRB,7.9
GNQ,6.7
FRA,13.9
GRC,11.8
JPN,6.3
LUX,13.4
NZL,9.5
OMN,1.3
QAT,7.2
SMR,
SVK,14.1
ESP,12.8
CHE,10.4
USA,12.1
TUV,2.3
NIU,7.4
BFA,6.3
KHM,4.3
PRK,2.7
GMB,0.3
MOZ,4.3
RWA,7.3
SLE,6.7
UGA,8.0
UZB,8.5
ALB,0.4
BOL,6.3
COG,5.6
DJI,2.1
EGY,0.5
GEO,8.9
GUY,8.0
KIR,3.7
MDV,0.2
FSM,3.5
MAR,2.1
NGA,8.2
PNG,3.6
PHL,3.7
TON,1.9
TKM,10.6
VUT,1.7
BIH,9.3
BRA,8.7
CHL,8.9
CRI,6.3
GAB,11.2
MYS,2.0
PLW,6.6
PER,8.0
KNA,9.8
VCT,6.8
ZAF,11.5
MKD,10.8
MNE,
AUT,10.0
BHR,0.1
FIN,13.5
DEU,14.4
HUN,14.6
IRL,12.2
MLT,6.9
NOR,8.7
KOR,9.8
SAU,0.6
SVN,12.8
SWE,10.8
GBR,10.6
COK,5.7
NRU,4.6
SSD,
